#BOX_NAME,CALL_TIME,CRANE_TIME,EXECUTION_TIME,RELOCATIONS,
C23-1060-24,35179,35197,35205,1,
C10-489-24,35190,35218,35219,0,
C21-979-24,35192,35218,35219,0,
C22-1023-24,35208,35232,35233,0,
C23-1098-24,35210,35232,35233,0,
C18-879-24,35216,35232,35254,3,
C21-988-24,35238,35260,35261,0,
C23-1052-24,35243,35267,35268,0,
C18-874-24,35248,35274,35275,0,
C20-935-24,35249,35274,35275,0,
C14-690-24,35266,35281,35282,0,
C23-1078-24,35272,35281,35282,0,
C4-233-24,35276,35281,35289,1,
C21-995-24,35276,35288,35317,4,
C21-986-24,35281,35323,35324,0,
C13-631-24,35334,35365,35366,0,
C22-1043-24,35338,35365,35366,0,
C18-871-24,35339,35365,35366,0,
C19-915-24,35356,35365,35366,0,
C23-1074-24,35376,35376,35377,0,
C20-969-24,35391,35394,35395,0,
C1-88-24,35410,35410,35411,0,
C23-1076-24,35428,35431,35467,5,
C2-106-24,35439,35466,35467,0,
C18-844-24,35444,35473,35474,0,
C23-1057-24,35511,35511,35512,0,
C5-257-24,35516,35516,35524,1,
C7-369-24,35532,35532,35533,0,
C6-303-24,35536,35542,35574,5,
C12-604-24,35553,35573,35574,0,
C19-884-24,35564,35573,35574,0,
C20-947-24,35567,35573,35574,0,
C20-961-24,35569,35573,35581,1,
C5-298-24,35572,35580,35602,3,
C16-746-24,35577,35601,35602,0,
C18-841-24,35587,35601,35602,0,
C19-882-24,35596,35601,35602,0,
C15-728-24,35631,35631,35632,0,
C21-993-25,36518,36535,36536,0,
C16-754-25,36549,36577,36585,1,
C21-994-25,36554,36591,36592,0,
C0-48-25,36560,36591,36595,1,
C17-811-25,36601,36678,36679,0,
C23-1053-25,36609,36706,36707,0,
C6-310-25,36616,36706,36707,0,
C23-1072-25,36616,36706,36724,3,
C5-296-25,36636,36723,36724,0,
C16-739-25,36641,36723,36724,0,
C4-209-25,36645,36723,36724,0,
C23-1050-25,36650,36730,36731,0,
C14-680-25,36653,36730,36731,0,
C15-721-25,36662,36730,36731,0,
C12-580-25,36694,36737,36738,0,
C22-1032-25,36704,36737,36738,0,
C15-732-25,36706,36744,36745,0,
C21-991-25,36709,36744,36745,0,
C13-648-25,36741,36772,36801,4,
C21-974-25,36786,36814,36815,0,
C23-1070-25,36797,36821,36822,0,
C17-800-25,36839,36854,36855,0,
C7-355-25,36851,36854,36855,0,
C23-1058-25,36861,36861,36869,1,
C11-555-25,36863,36868,36869,0,
C16-764-25,36880,36880,36881,0,
C13-632-25,36888,36888,36889,0,
C19-903-25,36894,36894,36898,1,
C17-807-25,36916,36920,36928,1,
C8-399-25,36923,36927,36928,0,
C2-110-25,36924,36927,36928,0,
C23-1087-25,36944,36944,36945,0,
C10-496-25,36973,36973,36974,0,
C17-797-25,36983,36983,36984,0,
C14-656-25,37013,37013,37021,1,
C21-980-25,37014,37020,37021,0,
C14-684-25,37031,37031,37039,1,
C15-724-25,37033,37038,37039,0,
C19-917-25,37037,37038,37039,0,
C7-348-25,37042,37042,37043,0,
C9-446-25,37042,37042,37043,0,
C19-909-25,37048,37054,37055,0,
C11-531-25,37058,37058,37080,3,
C10-483-25,37072,37079,37080,0,
C24-1118-26,37957,37965,37966,0,
C23-1101-26,37963,37965,37987,3,
C23-1081-26,37970,38000,38001,0,
C17-789-26,37983,38000,38001,0,
C24-1127-26,38035,38056,38057,0,
C24-1111-26,38083,38105,38106,0,
C16-756-26,38087,38105,38106,0,
C8-392-26,38094,38105,38106,0,
C21-1007-26,38106,38112,38113,0,
C21-1008-26,38120,38120,38121,0,
C16-779-26,38126,38126,38134,1,
C20-939-26,38141,38141,38142,0,
C3-175-26,38145,38145,38146,0,
C11-541-26,38156,38162,38163,0,
C18-846-26,38175,38180,38181,0,
C20-946-26,38206,38209,38210,0,
C4-205-26,38219,38222,38223,0,
C19-897-26,38239,38242,38243,0,
C3-170-26,38269,38269,38277,1,
C5-301-26,38272,38276,38319,6,
C18-857-26,38278,38325,38326,0,
C24-1125-26,38283,38325,38333,1,
C25-1175-26,38292,38332,38333,0,
C24-1132-26,38298,38339,38354,2,
C0-9-26,38325,38353,38375,3,
C10-478-26,38343,38381,38410,4,
C14-666-26,38361,38423,38424,0,
C16-785-26,38382,38430,38445,2,
C25-1188-26,38385,38451,38452,0,
C24-1134-26,38433,38486,38487,0,
C3-162-26,38449,38486,38487,0,
C4-203-26,38456,38486,38508,3,
C17-791-26,38464,38507,38508,0,
